Vcell1, current, time, supply voltage, supply current, temperature
4.165837476719235,0.0256142121888299,2022_02_03_11_37_48,4.2,0.609,18.58
4.165344602995299,0.02791422229290455,2022_02_03_11_37_49,4.2,0.608,18.58
4.165837476719235,0.027092790112785987,2022_02_03_11_37_50,4.2,0.607,18.58
4.165344602995299,0.026107071496778995,2022_02_03_11_37_52,4.2,0.606,18.58
4.165673185477546,0.025449925752854832,2022_02_03_11_37_53,4.2,0.606,18.58
4.165837476719235,0.022821342777781656,2022_02_03_11_37_54,4.2,0.605,18.58
4.166001767961303,0.024792780008993966,2022_02_03_11_37_55,4.2,0.605,18.58
4.166001767961303,0.027257076548801433,2022_02_03_11_37_56,4.2,0.604,18.58
4.166001767961303,0.027257076548801433,2022_02_03_11_37_57,4.2,0.603,18.58
4.166658932933346,0.022821342777781656,2022_02_03_11_37_58,4.2,0.602,18.58
4.1655088942362335,0.029392800217382428,2022_02_03_11_37_59,4.2,0.602,18.58
4.165837476719235,0.028407081601025702,2022_02_03_11_38_00,4.2,0.601,18.58
4.166166059203747,0.02791422229290455,2022_02_03_11_38_02,4.2,0.601,18.58
4.166166059203747,0.02429992070113928,2022_02_03_11_38_03,4.2,0.6,18.58
4.166166059203747,0.028571368037074517,2022_02_03_11_38_04,4.2,0.6,18.58
4.166166059203747,0.02774993585687254,2022_02_03_11_38_05,4.2,0.599,18.58
4.165837476719235,0.02380706139331927,2022_02_03_11_38_06,4.2,0.599,18.58
4.166330350446569,0.02774993585687254,2022_02_03_11_38_07,4.2,0.598,18.58
4.166166059203747,0.0249570664449533,2022_02_03_11_38_08,4.2,0.597,18.58
4.166001767961303,0.0256142121888299,2022_02_03_11_38_09,4.2,0.597,18.58
4.166330350446569,0.02528563931688372,2022_02_03_11_38_10,4.2,0.596,18.58
4.1668232241773,0.027585649420844696,2022_02_03_11_38_12,4.2,0.596,18.58
4.166494641689768,0.025942785060791968,2022_02_03_11_38_13,4.2,0.595,18.58
4.166658932933346,0.02972137308953567,2022_02_03_11_38_14,4.2,0.594,18.58
4.166166059203747,0.02692850367677465,2022_02_03_11_38_15,4.2,0.594,18.58
4.166494641689768,0.028078508728940736,2022_02_03_11_38_16,4.2,0.594,18.58
4.166166059203747,0.02791422229290455,2022_02_03_11_38_17,4.2,0.592,18.58
4.166001767961303,0.027257076548801433,2022_02_03_11_38_18,4.2,0.592,18.58
4.166001767961303,0.027257076548801433,2022_02_03_11_38_19,4.2,0.591,18.58
4.166987515421631,0.02380706139331927,2022_02_03_11_38_21,4.2,0.591,18.58
4.166494641689768,0.029064227345246434,2022_02_03_11_38_22,4.2,0.59,18.58
4.166166059203747,0.025121352880916548,2022_02_03_11_38_23,4.2,0.589,18.58
4.166987515421631,0.027257076548801433,2022_02_03_11_38_24,4.2,0.589,18.58
